"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","PerToFastest","is_beyond_107","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"1",2014,"Australian Grand Prix","rosberg","Mercedes","Mercedes",1,92.564,NA,NA,NA,90.775,1.78899999999999,0.0197080694023684,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"2",2014,"Australian Grand Prix","kevin_magnussen","McLaren","Mercedes",0,90.949,NA,NA,NA,90.775,0.173999999999992,0.00191682732029735,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"3",2014,"Australian Grand Prix","button","McLaren","Mercedes",0,91.396,NA,NA,NA,90.775,0.620999999999995,0.0068410906086477,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"4",2014,"Australian Grand Prix","alonso","Ferrari","Ferrari",1,91.388,NA,NA,NA,90.775,0.613,0.00675296061690994,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"5",2014,"Australian Grand Prix","bottas","Williams","Mercedes",0,91.601,NA,NA,NA,90.775,0.825999999999993,0.00909942164692915,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"6",2014,"Australian Grand Prix","hulkenberg","Force India","Mercedes",0,93.893,NA,NA,NA,90.775,3.118,0.0343486642798127,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"7",2014,"Australian Grand Prix","raikkonen","Ferrari","Ferrari",1,92.439,NA,NA,NA,90.775,1.66399999999999,0.018331038281465,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"8",2014,"Australian Grand Prix","vergne","Toro Rosso","Renault",0,93.488,NA,NA,NA,90.775,2.71299999999999,0.0298870834480859,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"9",2014,"Australian Grand Prix","kvyat","Toro Rosso","Renault",0,93.777,NA,NA,NA,90.775,3.002,0.0330707793996144,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"10",2014,"Australian Grand Prix","perez","Force India","Mercedes",0,94.141,NA,NA,NA,90.775,3.366,0.0370806940236849,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"11",2014,"Australian Grand Prix","sutil","Sauber","Ferrari",0,93.673,NA,NA,NA,90.775,2.898,0.0319250895070228,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"12",2014,"Australian Grand Prix","gutierrez","Sauber","Ferrari",0,95.117,NA,NA,NA,90.775,4.342,0.0478325530156981,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
