"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"19",2014,"Australian Grand Prix","massa","Williams","Mercedes",0,91.228,NA,NA,NA,90.775,0.452999999999989,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"20",2014,"Australian Grand Prix","kobayashi","Caterham","Renault",0,94.274,NA,NA,NA,90.775,3.499,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"21",2014,"Australian Grand Prix","ricciardo","Red Bull","Renault",0,90.775,NA,NA,NA,90.775,0,"Melbourne Grand Prix Circuit","Melbourne"," Australia",5.278,14,"Clockwise","Street","1996 Australian Grand Prix","2025 Australian Grand Prix",28,"1:19.813","Charles Leclerc",2024,79.813,1996,2025
"22",2014,"Malaysian Grand Prix","hamilton","Mercedes","Mercedes",1,117.202,NA,NA,NA,117.183,0.0189999999999912,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"23",2014,"Malaysian Grand Prix","rosberg","Mercedes","Mercedes",1,117.183,NA,NA,NA,117.183,0,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"24",2014,"Malaysian Grand Prix","vettel","Red Bull","Renault",0,117.654,NA,NA,NA,117.183,0.470999999999989,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"25",2014,"Malaysian Grand Prix","alonso","Ferrari","Ferrari",1,118.889,NA,NA,NA,117.183,1.70599999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"26",2014,"Malaysian Grand Prix","hulkenberg","Force India","Mercedes",0,118.883,NA,NA,NA,117.183,1.69999999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"27",2014,"Malaysian Grand Prix","button","McLaren","Mercedes",0,120.889,NA,NA,NA,117.183,3.70599999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"28",2014,"Malaysian Grand Prix","massa","Williams","Mercedes",0,120.047,NA,NA,NA,117.183,2.86399999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
