Circuit,City,Country,Track Length (km),Turns,Direction,Circuit Type,First Grand Prix,Last Grand Prix,Races,Best Lap Timing,Best Lap Driver,Best Lap Year,Best Lap Time
Pedralbes Circuit,Barcelona, Spain,6.316,6,Clockwise,Street,1951 Spanish Grand Prix,1954 Spanish Grand Prix,2,2:16.930,Juan Manuel Fangio,1951,136.93
Nürburgring,Nürburg, Germany,5.148,15,Clockwise,Race,1951 German Grand Prix,2020 Eifel Grand Prix,41,10:05.100,Alberto Ascari,1952,605.1
Prince George Circuit,East London, South Africa,3.92,9,Clockwise,Race,1962 South African Grand Prix,1965 South African Grand Prix,3,1:27.600,Jim Clark,1965,87.6
Pescara Circuit,Pescara, Italy,25.579,24,Clockwise,Road,1957 Pescara Grand Prix,1957 Pescara Grand Prix,1,9:44.600,Stirling Moss,1957,584.6
Phoenix Street Circuit,Phoenix, United States of America,3.721,15,Anti clockwise,Street,1989 United States Grand Prix,1991 United States Grand Prix,3,1:26.758,Jean Alesi,1991,86.758
Riverside International Raceway,Riverside, United States of America,5.271,9,Clockwise,Race,1960 United States Grand Prix,1960 United States Grand Prix,1,1:56.300,Jack Brabham,1960,116.3
Reims-Gueux,Reims, France,8.302,7,Clockwise,Road,1950 French Grand Prix,1966 French Grand Prix,11,2:11.300,Lorenzo Bandini,1966,131.3
Rouen-Les-Essarts,Rouen, France,6.542,12,Clockwise,Road,1952 French Grand Prix,1968 French Grand Prix,5,2:11.400,Jack Brabham,1964,131.4
Sebring International Raceway,Sebring, United States of America,8.36,17,Clockwise,Road,1959 United States Grand Prix,1959 United States Grand Prix,1,3:05.000,Maurice Trintignant,1959,185.0
Red Bull Ring,Spielberg, Austria,4.318,10,Clockwise,Race,1970 Austrian Grand Prix,2025 Austrian Grand Prix,39,1:05.619,Carlos Sainz Jr.,2020,65.619
Shanghai International Circuit,Shanghai, China,5.451,16,Clockwise,Race,2004 Chinese Grand Prix,2025 Chinese Grand Prix,18,1:32.238,Michael Schumacher,2004,92.238
Sepang International Circuit,Sepang, Malaysia,5.543,15,Clockwise,Race,1999 Malaysian Grand Prix,2017 Malaysian Grand Prix,19,1:34.080,Sebastian Vettel,2017,94.08
Sochi Autodrom,Sochi, Russia,5.848,18,Clockwise,Road,2014 Russian Grand Prix,2021 Russian Grand Prix,8,1:35.761,Lewis Hamilton,2019,95.761
Suzuka Circuit,Suzuka, Japan,5.807,18,Clockwise,Race,1987 Japanese Grand Prix,2025 Japanese Grand Prix,35,1:30.965,Andrea Kimi Antonelli,2025,90.965
Watkins Glen International,Watkins Glen, United States of America,5.435,11,Clockwise,Race,1961 United States Grand Prix,1980 United States Grand Prix,20,1:02.740,Jacky Ickx,1970,62.74
Silverstone Circuit,Silverstone, United Kingdom,5.891,18,Clockwise,Race,1950 British Grand Prix,2025 British Grand Prix,60,1:09.832,Nigel Mansell,1987,69.832
Zeltweg,Zeltweg, Austria,3.186,4,Clockwise,Road,1964 Austrian Grand Prix,1964 Austrian Grand Prix,1,1:10.560,Dan Gurney,1964,70.56
Yas Marina Circuit,Abu Dhabi, United Arab Emirates,5.281,16,Anti clockwise,Race,2009 Abu Dhabi Grand Prix,2025 Abu Dhabi Grand Prix,17,1:25.637,Kevin Magnussen,2024,85.637
Valencia Street Circuit,Valencia, Spain,5.419,25,Clockwise,Street,2008 European Grand Prix,2012 European Grand Prix,5,1:38.683,Timo Glock,2009,98.68299999999999
