Year,EventName,EventDate,Driver,Team,LapTime,FullThrottlePct
2018,Australian Grand Prix,2018-03-25,HAM,Mercedes,0 days 00:01:21.164000,66.28849270664506
2018,Bahrain Grand Prix,2018-04-08,VET,Ferrari,0 days 00:01:27.958000,62.81859070464768
2018,Chinese Grand Prix,2018-04-15,VET,Ferrari,0 days 00:01:31.095000,59.36599423631124
2018,Azerbaijan Grand Prix,2018-04-29,VET,Ferrari,0 days 00:01:41.498000,60.776439089692104
2018,Spanish Grand Prix,2018-05-13,HAM,Mercedes,0 days 00:01:16.173000,59.29824561403508
2018,Monaco Grand Prix,2018-05-27,RIC,Red Bull Racing,0 days 00:01:10.810000,41.72932330827068
2018,Canadian Grand Prix,2018-06-10,VET,Ferrari,0 days 00:01:10.764000,63.34586466165414
2018,French Grand Prix,2018-06-24,HAM,Mercedes,0 days 00:01:30.029000,58.34564254062038
2018,Austrian Grand Prix,2018-07-01,BOT,Mercedes,0 days 00:01:03.130000,68.3991683991684
2018,British Grand Prix,2018-07-08,HAM,Mercedes,0 days 00:01:25.892000,67.49226006191951
2018,German Grand Prix,2018-07-22,VET,Ferrari,0 days 00:01:11.212000,65.2751423149905
2018,Hungarian Grand Prix,2018-07-29,VET,Ferrari,0 days 00:01:16.666000,49.55595026642984
2018,Belgian Grand Prix,2018-08-26,VET,Ferrari,0 days 00:01:41.501000,68.86304909560724
2018,Italian Grand Prix,2018-09-02,RAI,Ferrari,0 days 00:01:19.119000,74.6218487394958
2018,Singapore Grand Prix,2018-09-16,HAM,Mercedes,0 days 00:01:36.015000,43.43015214384509
2018,Russian Grand Prix,2018-09-30,BOT,Mercedes,0 days 00:01:31.387000,65.27377521613833
2018,Japanese Grand Prix,2018-10-07,HAM,Mercedes,0 days 00:01:27.760000,59.88023952095808
2018,United States Grand Prix,2018-10-21,HAM,Mercedes,0 days 00:01:32.237000,59.227467811158796
2018,Mexican Grand Prix,2018-10-28,RIC,Red Bull Racing,0 days 00:01:14.759000,51.699463327370296
2018,Brazilian Grand Prix,2018-11-11,HAM,Mercedes,0 days 00:01:07.281000,60.71428571428571
2018,Abu Dhabi Grand Prix,2018-11-25,HAM,Mercedes,0 days 00:01:34.794000,57.66526019690576
2019,Australian Grand Prix,2019-03-17,HAM,Mercedes,0 days 00:01:20.486000,69.6969696969697
2019,Bahrain Grand Prix,2019-03-31,LEC,Ferrari,0 days 00:01:27.866000,63.74622356495468
