Year,EventName,TeamName,DriverId,SessionCondition,FullThrottlePct,Q1_time,engine,works
2025,Miami Grand Prix,Racing Bulls,hadjar,dry,60.49382716049383,87.301,Honda,0
2025,Miami Grand Prix,Ferrari,hamilton,dry,60.49382716049383,87.279,Ferrari,1
2025,Miami Grand Prix,Kick Sauber,bortoleto,dry,60.49382716049383,87.343,Ferrari,0
2025,Miami Grand Prix,Alpine,doohan,dry,60.49382716049383,87.422,Renault,1
2025,Miami Grand Prix,Racing Bulls,lawson,dry,60.49382716049383,87.444,Honda,1
2025,Miami Grand Prix,Kick Sauber,hulkenberg,dry,60.49382716049383,87.473,Ferrari,0
2025,Miami Grand Prix,Aston Martin,alonso,dry,60.49382716049383,87.604,Mercedes,0
2025,Miami Grand Prix,Alpine,gasly,dry,60.49382716049383,87.71,Renault,1
2025,Miami Grand Prix,Aston Martin,stroll,dry,60.49382716049383,87.83,Mercedes,0
2025,Miami Grand Prix,Haas F1 Team,bearman,dry,60.49382716049383,87.999,Ferrari,0
2024,United States Grand Prix,McLaren,norris,dry,57.40479548660085,93.616,Mercedes,0
2024,United States Grand Prix,Red Bull Racing,max_verstappen,dry,57.40479548660085,93.046,Honda,1
2024,United States Grand Prix,Ferrari,sainz,dry,57.40479548660085,93.556,Ferrari,1
2024,United States Grand Prix,Ferrari,leclerc,dry,57.40479548660085,93.241,Ferrari,1
2024,United States Grand Prix,McLaren,piastri,dry,57.40479548660085,93.864,Mercedes,0
2024,United States Grand Prix,Mercedes,russell,dry,57.40479548660085,93.536,Mercedes,1
2024,United States Grand Prix,Alpine,gasly,dry,57.40479548660085,93.55,Renault,1
2024,United States Grand Prix,Aston Martin,alonso,dry,57.40479548660085,93.973,Mercedes,0
2024,United States Grand Prix,Haas F1 Team,kevin_magnussen,dry,57.40479548660085,93.564,Ferrari,0
2024,United States Grand Prix,Red Bull Racing,perez,dry,57.40479548660085,93.611,Honda,1
2024,United States Grand Prix,RB,tsunoda,dry,57.40479548660085,93.795,Honda,0
2024,United States Grand Prix,Haas F1 Team,hulkenberg,dry,57.40479548660085,93.601,Ferrari,0
2024,United States Grand Prix,Alpine,ocon,dry,57.40479548660085,93.986,Renault,1
2024,United States Grand Prix,Aston Martin,stroll,dry,57.40479548660085,94.033,Mercedes,0
2024,United States Grand Prix,RB,lawson,dry,57.40479548660085,93.339,Honda,0
2024,United States Grand Prix,Williams,albon,dry,57.40479548660085,94.051,Mercedes,0
2024,United States Grand Prix,Williams,colapinto,dry,57.40479548660085,94.062,Mercedes,0
2024,United States Grand Prix,Kick Sauber,bottas,dry,57.40479548660085,94.152,Ferrari,0
2024,United States Grand Prix,Mercedes,hamilton,dry,57.40479548660085,94.154,Mercedes,1
2024,United States Grand Prix,Kick Sauber,zhou,dry,57.40479548660085,94.228,Ferrari,0
2020,Italian Grand Prix,Mercedes,hamilton,dry,75.9825327510917,79.514,Mercedes,1
2020,Italian Grand Prix,Mercedes,bottas,dry,75.9825327510917,79.786,Mercedes,1
2020,Italian Grand Prix,McLaren,sainz,dry,75.9825327510917,80.099,Renault,0
2020,Italian Grand Prix,Racing Point,perez,dry,75.9825327510917,80.048,Mercedes,0
2020,Italian Grand Prix,Red Bull Racing,max_verstappen,dry,75.9825327510917,80.193,Honda,1
2020,Italian Grand Prix,McLaren,norris,dry,75.9825327510917,80.344,Renault,0
2020,Italian Grand Prix,Renault,ricciardo,dry,75.9825327510917,80.548,Renault,1
2020,Italian Grand Prix,Racing Point,stroll,dry,75.9825327510917,80.4,Mercedes,0
2020,Italian Grand Prix,Red Bull Racing,albon,dry,75.9825327510917,81.104,Honda,1
2020,Italian Grand Prix,AlphaTauri,gasly,dry,75.9825327510917,80.145,Honda,1
2020,Italian Grand Prix,AlphaTauri,kvyat,dry,75.9825327510917,80.307,Honda,1
2020,Italian Grand Prix,Renault,ocon,dry,75.9825327510917,80.747,Renault,1
2020,Italian Grand Prix,Ferrari,leclerc,dry,75.9825327510917,80.443,Ferrari,1
2020,Italian Grand Prix,Alfa Romeo Racing,raikkonen,dry,75.9825327510917,81.01,Ferrari,0
2020,Italian Grand Prix,Haas F1 Team,kevin_magnussen,dry,75.9825327510917,80.869,Ferrari,0
2020,Italian Grand Prix,Haas F1 Team,grosjean,dry,75.9825327510917,81.139,Ferrari,0
2020,Italian Grand Prix,Ferrari,vettel,dry,75.9825327510917,81.151,Ferrari,1
2020,Italian Grand Prix,Alfa Romeo Racing,giovinazzi,dry,75.9825327510917,81.206,Ferrari,0
2020,Italian Grand Prix,Williams,russell,dry,75.9825327510917,81.587,Mercedes,0
2020,Italian Grand Prix,Williams,latifi,dry,75.9825327510917,81.717,Mercedes,0
2023,United States Grand Prix,Ferrari,leclerc,dry,55.57122708039493,96.061,Ferrari,1
2023,United States Grand Prix,McLaren,norris,dry,55.57122708039493,95.11,Mercedes,0
2023,United States Grand Prix,Mercedes,hamilton,dry,55.57122708039493,95.091,Mercedes,1
2023,United States Grand Prix,Ferrari,sainz,dry,55.57122708039493,95.824,Ferrari,1
2023,United States Grand Prix,Mercedes,russell,dry,55.57122708039493,96.165,Mercedes,1
2023,United States Grand Prix,Red Bull Racing,max_verstappen,dry,55.57122708039493,95.346,Honda,1
2023,United States Grand Prix,Alpine,gasly,dry,55.57122708039493,96.158,Renault,1
2023,United States Grand Prix,Alpine,ocon,dry,55.57122708039493,96.131,Renault,1
2023,United States Grand Prix,Red Bull Racing,perez,dry,55.57122708039493,95.989,Honda,1
2023,United States Grand Prix,McLaren,piastri,dry,55.57122708039493,96.064,Mercedes,0
2023,United States Grand Prix,AlphaTauri,tsunoda,dry,55.57122708039493,95.913,Honda,0
2023,United States Grand Prix,Alfa Romeo,zhou,dry,55.57122708039493,96.052,Ferrari,0
2023,United States Grand Prix,Alfa Romeo,bottas,dry,55.57122708039493,96.082,Ferrari,0
2023,United States Grand Prix,Haas F1 Team,kevin_magnussen,dry,55.57122708039493,96.009,Ferrari,0
2023,United States Grand Prix,AlphaTauri,ricciardo,dry,55.57122708039493,96.213,Honda,0
2023,United States Grand Prix,Haas F1 Team,hulkenberg,dry,55.57122708039493,96.235,Ferrari,0
2023,United States Grand Prix,Aston Martin,alonso,dry,55.57122708039493,96.268,Mercedes,0
2023,United States Grand Prix,Williams,albon,dry,55.57122708039493,96.315,Mercedes,0
2023,United States Grand Prix,Aston Martin,stroll,dry,55.57122708039493,96.589,Mercedes,0
2023,United States Grand Prix,Williams,sargeant,dry,55.57122708039493,96.827,Mercedes,0
2019,Hungarian Grand Prix,Red Bull Racing,max_verstappen,dry,59.46428571428572,75.817,Honda,1
2019,Hungarian Grand Prix,Mercedes,bottas,dry,59.46428571428572,76.078,Mercedes,1
2019,Hungarian Grand Prix,Mercedes,hamilton,dry,59.46428571428572,76.068,Mercedes,1
2019,Hungarian Grand Prix,Ferrari,leclerc,dry,59.46428571428572,76.337,Ferrari,1
2019,Hungarian Grand Prix,Ferrari,vettel,dry,59.46428571428572,76.452,Ferrari,1
2019,Hungarian Grand Prix,Red Bull Racing,gasly,dry,59.46428571428572,76.716,Honda,1
2019,Hungarian Grand Prix,McLaren,norris,dry,59.46428571428572,76.697,Renault,0
2019,Hungarian Grand Prix,McLaren,sainz,dry,59.46428571428572,76.493,Renault,0
2019,Hungarian Grand Prix,Haas F1 Team,grosjean,dry,59.46428571428572,76.978,Ferrari,0
2019,Hungarian Grand Prix,Alfa Romeo Racing,raikkonen,dry,59.46428571428572,76.506,Ferrari,0
2019,Hungarian Grand Prix,Renault,hulkenberg,dry,59.46428571428572,76.79,Renault,1
2019,Hungarian Grand Prix,Toro Rosso,albon,dry,59.46428571428572,76.912,Honda,1
2019,Hungarian Grand Prix,Toro Rosso,kvyat,dry,59.46428571428572,76.75,Honda,1
2019,Hungarian Grand Prix,Alfa Romeo Racing,giovinazzi,dry,59.46428571428572,76.894,Ferrari,0
2019,Hungarian Grand Prix,Haas F1 Team,kevin_magnussen,dry,59.46428571428572,76.122,Ferrari,0
2019,Hungarian Grand Prix,Williams,russell,dry,59.46428571428572,77.031,Mercedes,0
2019,Hungarian Grand Prix,Racing Point,perez,dry,59.46428571428572,77.109,Mercedes,0
2019,Hungarian Grand Prix,Renault,ricciardo,dry,59.46428571428572,77.257,Renault,1
2019,Hungarian Grand Prix,Racing Point,stroll,dry,59.46428571428572,77.542,Mercedes,0
2019,Hungarian Grand Prix,Williams,kubica,dry,59.46428571428572,78.324,Mercedes,0
2023,Canadian Grand Prix,Red Bull Racing,max_verstappen,dry,47.77594728171334,80.851,Honda,1
2023,Canadian Grand Prix,Haas F1 Team,hulkenberg,dry,47.77594728171334,82.73,Ferrari,0
2023,Canadian Grand Prix,Aston Martin,alonso,dry,47.77594728171334,81.481,Mercedes,0
2023,Canadian Grand Prix,Mercedes,hamilton,dry,47.77594728171334,81.554,Mercedes,1
2023,Canadian Grand Prix,Mercedes,russell,dry,47.77594728171334,81.798,Mercedes,1
2023,Canadian Grand Prix,Alpine,ocon,dry,47.77594728171334,82.114,Renault,1
2023,Canadian Grand Prix,McLaren,norris,dry,47.77594728171334,81.998,Mercedes,0
2023,Canadian Grand Prix,Ferrari,sainz,dry,47.77594728171334,82.248,Ferrari,1
2023,Canadian Grand Prix,McLaren,piastri,dry,47.77594728171334,82.19,Mercedes,0
2023,Canadian Grand Prix,Williams,albon,dry,47.77594728171334,81.938,Mercedes,0
2023,Canadian Grand Prix,Ferrari,leclerc,dry,47.77594728171334,81.843,Ferrari,1
2023,Canadian Grand Prix,Red Bull Racing,perez,dry,47.77594728171334,82.151,Honda,1
2023,Canadian Grand Prix,Aston Martin,stroll,dry,47.77594728171334,82.677,Mercedes,0
2023,Canadian Grand Prix,Haas F1 Team,kevin_magnussen,dry,47.77594728171334,82.351,Ferrari,0
2023,Canadian Grand Prix,Alfa Romeo,bottas,dry,47.77594728171334,82.332,Ferrari,0
2023,Canadian Grand Prix,AlphaTauri,tsunoda,dry,47.77594728171334,82.746,Honda,0
2023,Canadian Grand Prix,Alpine,gasly,dry,47.77594728171334,82.886,Renault,1
